id,customer_tweet_id,text,history,intent,sentiment,urgency,escalate,reason,ideal_reply_notes,labeller,suggested_intent
g001,1830566,"3/4You can't just communicate with one agent until you problem is resolved. No phone number, no email with one agent, etc",has some of the worst driver support I've ever seen. is consistently terrible on all metrics. Basic tasks impossible,,,,,,,,other
g002,2701160,Registered ID __email__. Left my phone in the cab. Travelled from Bangalore airport to SMR Vinay Estate,,,,,,,,,lost_item
g003,2568032,"Explain to me ! How do y’all deliver a whole wrong order, refund me a portion and say I can’t get my full refund because of policy’s! How about a policy of lawsuit! Bitches",,,,,,,,,uber_eats
g004,1417808,I got a response as no refund will be made. when it is paytm mode of payment .driver has argued for cash with my sis and took,#Uber Charges double pmt for the same ride. Booked cab for my Sis and driver charged cash when it was Paid through,,,,,,,,fare_dispute
g005,1547036,So please tell me why I am being charged a cancellation fee when the driver cancelled on me?! Please refund!,,,,,,,,,fare_dispute
g006,931850,Order number was #E8C09,Uber Eats got my entire order wrong today. I ordered two dishes. one did not arrive at all and the one that did was wrong. 1/2,,,,,,,,uber_eats
g007,573721,Last trip of mine was overcharged because your driver was unprofessional and didn’t ended the trip at my location instead went on to Sector 62. I need action against him and refund my money asap,,,,,,,,,fare_dispute
g008,2839269,2 weeks and still getting this message. Haven’t heard anything from background check!! Wanting to start work. Help please!,,,,,,,,,driver_onboarding_or_earnings
g009,2652883,my drop location was wrong on my UberPool trip on Friday. Raise a complaint but no response. Could someone look into it please? I was charged 178 for a 80rs pool ride,,,,,,,,,trip_or_driver_issue
g010,1298266,I've been charged unnecessarily high fare on 29th november and as the gps showed wrong pickup location. no refund has been initiated and no one has responded to my problem even after constantly mentioning it in the help section!,,,,,,,,,fare_dispute
g011,2323257,"Dear my husband tried to deposit his money into our account and it went into someone else’s. We would appreciate it greatly if you could find it and give it back, Kay? U lost his money he doesn’t want to take any chances so he is not driving right now. #uber #whereismymoney",,,,,,,,,driver_onboarding_or_earnings
g012,1173741,booked cab nd its expected Tim ws 5mns then d tim ws raising nd ws 20mns Thn cancelled it.they charged me 78rs.Pleas sort this,,,,,,,,,fare_dispute
g013,114613,"Your ""help"" is absolutely horrible. I sent numerous emails back-and-forth, and even called. I got nowhere. ""Support"" wasn't very supportive. I want to talk to someone that knows the Charlotte surge testing","had a $5.25 surge last night. On the way I got switched to a closer rider. I didn't get the surge after the switch. I this the way it works? If so, that's messed up!",,,,,,,,fare_dispute
g014,728152,this is unacceptable when you promise 1 minute wait times at LAX,,,,,,,,,policy_or_info_question
g015,1668940,"fam, I need contact details for your SA office",,,,,,,,,policy_or_info_question
g016,104023,Why didn't I receive an email for Ride Pass this month? I want to be put back on the list to receive emails for LA Ride Pass,,,,,,,,,policy_or_info_question
g017,933361,how do I contact my uber if I left my phone in the car?,,,,,,,,,lost_item
g018,2536585,after a 13 hr flight I'd prefer not to go on a tour of Herts from Heathrow when I live in N Ldn,,,,,,,,,other
g019,1409865,Where is my laptop? Why won't anyone st respond? #NeverUber,,,,,,,,,lost_item
g020,2637062,I don’t have time today. I’m willing to find my to Delaware and still he doesn’t have time. so what shall I do about this. I understand it is policy to return the item to the person who lost I️t but in this case I can’t wait that long,So upset that I forgot my keys in a uber. But what is more upsetting is that he doesn’t care. My uber driver has driven to Delaware and will not return my house and car keys until next week. I even asked if he could give the keys to a friend that will give them to me. And he says,,,,,,,,lost_item
g021,305337,"It won't let me dm you, my email is __email__","I can't dm you , can you please get back to me asap . This is very urgent!!!",,,,,,,,app_or_account_issue
g022,1314707,order russian food and get an half hotdog and some pie for 17€! Such a good plan 🤔 #disappointed,,,,,,,,,uber_eats
g023,1709852,"hi, I’m in a different country, I bought a new phone and I cannot use Uber because the verification code arrives hours later. Could you help me, please? Thanks",,,,,,,,,app_or_account_issue
g024,840923,need help signing up for uber with my email which is somehow already associated with an account ¯\_(ツ)_/¯ ive never used uber,,,,,,,,,app_or_account_issue
g025,1311493,"Hey - Your delivery ""partners"" are picking up orders, cancelling them, and then selling the food for quick cash. Where's my Thai?",,,,,,,,,uber_eats
g026,560914,"I placed an UberEats order on Nov. 30, 2017, and my $15 credit, which showed in my account and was toggled to use, was not applied to my order. How can I get my credit?",,,,,,,,,uber_eats
g027,631890,"I shared one code to a friend... she used it, but i'm not received my prize until now. How i proceed in this case?",,,,,,,,,policy_or_info_question
g028,2761327,I have submitted my query please check and get back to me at the earliest,I want to settle this amount as this has been affected my whole journey and resulted in huge loss to me,,,,,,,,fare_dispute
g029,729745,sent you a message on July and no response till now! Is that customer service?,,,,,,,,,other
g030,1818568,account hacked can't delete it or get in touch with you because the phone number doesn't match the one now on account,,,,,,,,,app_or_account_issue
g031,1268452,#BHIM interface works as payment method in my Android why not in applicable in iOS or iPhones ? before it was working,,,,,,,,,app_or_account_issue
g032,1375754,worst service in London. Over an hour wait and can't call to cancel or say anything bc the number doesn't work,,,,,,,,,trip_or_driver_issue
g033,2354033,"Sorry , I'm done! I'm not going to put up with this BS anymore. Deleting the Uber app now! Sort out your efficiency!",,,,,,,,,other
g034,2861117,Thank you for the quick and helpful response. Issue has been resolved,your driver is trying to screw us over and nobody will respond to our support requests. Switching to Lyft permanently from now on if this is unresolved,,,,,,,,trip_or_driver_issue
g035,1053776,ordered uber eats. Got someone’s order instead. Sent a help ticket but says I’ll get a response in 24hrs?! #timesensitive,,,,,,,,,uber_eats
